id,title,price,promo_price,url
3226570,Конструктор LEGO Classic Кубики и домики 11008,1909,,https://www.detmir.ru/product/index/id/3226570/
3597021,Конструктор LEGO Star Wars Дуэль на Мандалоре 75310,2149,1499,https://www.detmir.ru/product/index/id/3597021/
3597053,Конструктор LEGO Jurassic World Погоня за карнотавром 76941,5509,,https://www.detmir.ru/product/index/id/3597053/
3596822,Конструктор LEGO Dots Подставка для карандашей 41936,2029,,https://www.detmir.ru/product/index/id/3596822/
3226650,Конструктор LEGO City Police Погоня на полицейском вертолете 60243,2989,2199,https://www.detmir.ru/product/index/id/3226650/
3244585,Конструктор LEGO Ninjago Истребитель Кая 71704,4309,,https://www.detmir.ru/product/index/id/3244585/
3596783,Конструктор LEGO Friends Лесной клуб верховой езды 41683,7789,6799,https://www.detmir.ru/product/index/id/3596783/
3405641,Конструктор LEGO Star Wars Испытание на Татуине 75299,3349,,https://www.detmir.ru/product/index/id/3405641/
3405529,Конструктор LEGO DUPLO Town Уход за животными на ферме 10949,889,749,https://www.detmir.ru/product/index/id/3405529/
3475286,Конструктор LEGO Friends Набор кубиков Хартлейк Сити 41431,4309,,https://www.detmir.ru/product/index/id/3475286/
3244546,Конструктор LEGO Minions Бойцы кунг-фу 75550,4429,2635,https://www.detmir.ru/product/index/id/3244546/
3405645,Конструктор LEGO Technic Фронтальный погрузчик 42116,1069,,https://www.detmir.ru/product/index/id/3405645/
3620623,Конструктор LEGO Mickey and Friends Ферма Микки и Дональда 10775,3109,2399,https://www.detmir.ru/product/index/id/3620623/
3594628,Конструктор LEGO Super Heroes Битва в древней деревне 76177,4429,3899,https://www.detmir.ru/product/index/id/3594628/
3244612,Конструктор LEGO Technic Самосвал Volvo 6*6 42114,27589,,https://www.detmir.ru/product/index/id/3244612/
3405649,Конструктор LEGO Technic Квадроцикл 42124,14989,11999,https://www.detmir.ru/product/index/id/3405649/
3498482,Конструктор LEGO Star Wars Истребитель Сопротивления типа X 75297,2149,,https://www.detmir.ru/product/index/id/3498482/
3405552,Конструктор LEGO Friends Пекарня Хартлейк-Сити 41440,1909,1239,https://www.detmir.ru/product/index/id/3405552/
3498483,Конструктор LEGO Star Wars Микрофайтеры AT-AT против таунтауна 75298,2149,,https://www.detmir.ru/product/index/id/3498483/
3244609,Конструктор LEGO MINDSTORMS EV3 Робот-изобретатель 51515,38389,,https://www.detmir.ru/product/index/id/3244609/
3777569,Конструктор LEGO Friends Новогодний календарь 41690,2389,,https://www.detmir.ru/product/index/id/3777569/
3498477,Конструктор LEGO Vidiyo Битбокс Диджея Пришельца 43104,1789,1159,https://www.detmir.ru/product/index/id/3498477/
3405577,Конструктор LEGO My City Скейт-парк 60290,3139,,https://www.detmir.ru/product/index/id/3405577/
3599722,Конструктор LEGO VIDIYO Robo HipHop Car (Машина Хип-Хоп Робота) 43112,2989,2259,https://www.detmir.ru/product/index/id/3599722/
3594633,Конструктор LEGO Star Wars Шлем пехотинца-разведчика 75305,5989,,https://www.detmir.ru/product/index/id/3594633/
3596882,Конструктор LEGO Disney Princess Ледяной замок 43197,23629,,https://www.detmir.ru/product/index/id/3596882/
3596769,Конструктор LEGO Creator Приключения на космическом шаттле 31117,5389,,https://www.detmir.ru/product/index/id/3596769/
3405619,Конструктор LEGO Ninjago Электрический робот Джея 71740,2029,1699,https://www.detmir.ru/product/index/id/3405619/
3597018,Конструктор LEGO Ninjago Водный дракон 71754,7789,,https://www.detmir.ru/product/index/id/3597018/
3405542,Конструктор LEGO Creator Пляжный домик серферов 31118,5389,,https://www.detmir.ru/product/index/id/3405542/
3166176,Конструктор LEGO Minifigures Серия Disney 2 71024,289,,https://www.detmir.ru/product/index/id/3166176/
3405557,Конструктор LEGO Friends Кьюб Эммы с далматинцем 41663,889,609,https://www.detmir.ru/product/index/id/3405557/
3405549,Конструктор LEGO Friends Кинотеатр Хартлейк-Сити 41448,5389,,https://www.detmir.ru/product/index/id/3405549/
3596763,Конструктор LEGO Classic Вокруг света 11015,5389,4499,https://www.detmir.ru/product/index/id/3596763/
3405534,Конструктор LEGO Jurassic World Побег динозавров: тираннозавр и трицератопс 10939,3109,,https://www.detmir.ru/product/index/id/3405534/
3596887,Конструктор LEGO City Stunt 60297,709,629,https://www.detmir.ru/product/index/id/3596887/
3405543,Конструктор LEGO Disney Princess Праздничный корабль Ариэль 43191,3109,,https://www.detmir.ru/product/index/id/3405543/
3405630,Конструктор LEGO Ninjago Легендарные битвы: Джей против воина-серпентина 71732,949,849,https://www.detmir.ru/product/index/id/3405630/
3597019,Конструктор LEGO Ninjago Храм Бескрайнего моря 71755,11989,9999,https://www.detmir.ru/product/index/id/3597019/
3599721,Конструктор LEGO VIDIYO Candy Castle Stage (Сцена карамельного замка) 43111,2989,2259,https://www.detmir.ru/product/index/id/3599721/
3239916,Набор для творчества LEGO DOTS Браслет Попугайчики 41912,529,299,https://www.detmir.ru/product/index/id/3239916/
3156354,Конструктор LEGO Marvel Super Heroes Лаборатория Железного человека 76125,6589,,https://www.detmir.ru/product/index/id/3156354/
3777767,Конструктор LEGO Harry Potter Новогодний календарь 76390,3109,,https://www.detmir.ru/product/index/id/3777767/
3594634,Конструктор LEGO Star Wars Имперский разведывательный дроид 75306,8389,,https://www.detmir.ru/product/index/id/3594634/
3596800,Конструктор LEGO Friends Волшебное колесо обозрения и горка 41689,6589,,https://www.detmir.ru/product/index/id/3596800/
3405546,Конструктор LEGO Disney Princess Книга сказочных приключений Эльзы и Нока 43189,2029,1349,https://www.detmir.ru/product/index/id/3405546/
3200890,Конструктор LEGO Star Wars Йода 75255,11389,,https://www.detmir.ru/product/index/id/3200890/
3596777,Конструктор LEGO Friends Кьюб для балета Стефани 41670,889,579,https://www.detmir.ru/product/index/id/3596777/
3144096,Конструктор LEGO Creator Обитатели морских глубин 31088,1669,,https://www.detmir.ru/product/index/id/3144096/
3405565,Конструктор LEGO Dots Креативный набор для праздника 41926,2389,,https://www.detmir.ru/product/index/id/3405565/
3244485,Конструктор LEGO Creator Отпуск в доме на колесах 31108,8989,,https://www.detmir.ru/product/index/id/3244485/
3596926,Конструктор LEGO Super Mario Падающая башня босса братца-сумо 71388,3229,2599,https://www.detmir.ru/product/index/id/3596926/
3405526,Конструктор LEGO DUPLO My First Единорог 10953,949,,https://www.detmir.ru/product/index/id/3405526/
3596972,Конструктор LEGO Ninjago Мотоцикл Кая 71734,949,799,https://www.detmir.ru/product/index/id/3596972/
3405644,Конструктор LEGO Star Wars Мандалорец и малыш 75317,2149,,https://www.detmir.ru/product/index/id/3405644/
3405553,Конструктор LEGO Friends Передвижной груминг-салон для кошек 41439,949,799,https://www.detmir.ru/product/index/id/3405553/
3405547,Конструктор LEGO Friends Электромобиль Оливии 41443,1549,1299,https://www.detmir.ru/product/index/id/3405547/
3597029,Конструктор LEGO Super Heroes «Мстители: Финал» — решающая битва 76192,10189,,https://www.detmir.ru/product/index/id/3597029/
3596770,Конструктор LEGO Creator Колесо обозрения 31119,10189,,https://www.detmir.ru/product/index/id/3596770/
3596711,Конструктор LEGO Mickey and Friends Винтовой самолёт Микки 10772,949,,https://www.detmir.ru/product/index/id/3596711/
3405607,Конструктор LEGO Super Heroes 76170,2149,,https://www.detmir.ru/product/index/id/3405607/
3594627,Конструктор LEGO Super Heroes Побег от Десяти колец 76176,3349,,https://www.detmir.ru/product/index/id/3594627/
3498476,Конструктор LEGO Vidiyo Битбокс Пирата Панка 43103,1789,1149,https://www.detmir.ru/product/index/id/3498476/
3596796,Конструктор LEGO Friends Волшебный фургон 41688,5389,4599,https://www.detmir.ru/product/index/id/3596796/
3597048,Конструктор LEGO Speed Champions McLaren Elva 76902,2149,,https://www.detmir.ru/product/index/id/3597048/
